LitterRef	Weight	MotherID	DateOfBirth	flag	Number_total	BodyLength
84	9	G3F009	1/6/15	0	8	19.1
84	9	G3F009	1/6/15	0	8	19.1
84	9	G3F009	1/6/15	0	8	19.1
84	10	G3F009	1/6/15	0	8	19.1
126	7	G3F009	7/14/15	0	6	19.2
126	7	G3F009	7/14/15	0	6	19.2
126	8	G3F009	7/14/15	0	6	19.2
126	7	G3F009	7/14/15	0	6	19.2
144	8	G3F009	11/15/15	0	9	19.06666667
144	7	G3F009	11/15/15	0	9	19.06666667
144	8	G3F009	11/15/15	0	9	19.06666667
471	10	G3F009	12/5/18	0	7	19.3
471	9	G3F009	12/5/18	0	7	19.3
9	10	G3F009	12/17/13	1	7	19.35
9	10	G3F009	12/17/13	1	7	19.35
144	10	G3F009	11/15/15	0	9	19.06666667
144	8	G3F009	11/15/15	0	9	19.06666667
471	9	G3F009	12/5/18	0	7	19.3
47	10	G4F003	7/24/14	0	8	17.75
47	9	G4F003	7/24/14	0	8	17.75
82	12	G4F003	1/3/15	0	6	18.13333333
182	8	G4F003	3/10/16	0	10	18.05
182	6	G4F003	3/10/16	0	10	18.05
182	9	G4F003	3/10/16	0	10	18.05
217	10	G4F003	7/10/16	0	7	18.25
290	9	G4F003	2/14/17	0	8	18.35
367	11	G4F003	10/5/17	0	6	18.6
367	12	G4F003	10/5/17	0	6	18.6
47	11	G4F003	7/24/14	0	8	17.75
47	11	G4F003	7/24/14	0	8	17.75
82	13	G4F003	1/3/15	0	6	18.13333333
182	10	G4F003	3/10/16	0	10	18.05
182	9	G4F003	3/10/16	0	10	18.05
182	9	G4F003	3/10/16	0	10	18.05
217	9	G4F003	7/10/16	0	7	18.25
217	10	G4F003	7/10/16	0	7	18.25
290	11	G4F003	2/14/17	0	8	18.35
290	10	G4F003	2/14/17	0	8	18.35
290	9	G4F003	2/14/17	0	8	18.35
536	3	G4F003	8/23/19	0	4	18.8
78	11	G4F010	12/15/14	0	6	19.05
78	12	G4F010	12/15/14	0	6	19.05
46	10	G5F004	7/23/14	1	6	16.35
46	8	G5F004	7/23/14	1	6	16.35
80	7	G5F004	12/23/14	0	7	16.55
80	7	G5F004	12/23/14	0	7	16.55
80	7	G5F004	12/23/14	0	7	16.55
106	7	G5F004	4/13/15	0	7	16.7
106	7	G5F004	4/13/15	0	7	16.7
106	7	G5F004	4/13/15	0	7	16.7
2	13	G6F003	10/22/13	1	5	17.56666667
79	9	G6F003	12/18/14	0	8	17.6
79	10	G6F003	12/18/14	0	8	17.6
79	11	G6F003	12/18/14	0	8	17.6
119	11	G6F003	6/17/15	0	7	17.6
119	11	G6F003	6/17/15	0	7	17.6
147	10	G6F003	11/19/15	0	8	17.55
196	10	G6F003	4/13/16	0	7	17.7
196	12	G6F003	4/13/16	0	7	17.7
243	11	G6F003	10/21/16	0	7	17.4
357	11	G6F003	9/20/17	0	7	17.9
79	11	G6F003	12/18/14	0	8	17.6
119	13	G6F003	6/17/15	0	7	17.6
147	12	G6F003	11/19/15	0	8	17.55
147	11	G6F003	11/19/15	0	8	17.55
147	13	G6F003	11/19/15	0	8	17.55
196	14	G6F003	4/13/16	0	7	17.7
243	16	G6F003	10/21/16	0	7	17.4
243	12	G6F003	10/21/16	0	7	17.4
292	13	G6F003	2/20/17	0	7	17.45
292	11	G6F003	2/20/17	0	7	17.45
357	13	G6F003	9/20/17	0	7	17.9
357	14	G6F003	9/20/17	0	7	17.9
81	8	G9F003	12/29/14	0	7	17.5
111	8	G9F003	5/5/15	0	7	17.25
111	10	G9F003	5/5/15	0	7	17.25
111	8	G9F003	5/5/15	0	7	17.25
195	7	G9F003	4/10/16	0	8	17.45
195	7	G9F003	4/10/16	0	8	17.45
81	7	G9F003	12/29/14	0	7	17.5
81	9	G9F003	12/29/14	0	7	17.5
195	9	G9F003	4/10/16	0	8	17.45
195	9	G9F003	4/10/16	0	8	17.45
510	12	GOF008	4/9/19	1	6	19.1
510	11	GOF008	4/9/19	1	6	19.1
215	12	GRF001	6/28/16	1	5	17.8
285	7	GRF001	1/24/17	0	8	18.35
285	8	GRF001	1/24/17	0	8	18.35
240	9	GRF001	10/9/16	0	5	18.25
285	9	GRF001	1/24/17	0	8	18.35
285	10	GRF001	1/24/17	0	8	18.35
297	13	GRF004	3/2/17	1	5	18.05
229	12	HEF001	8/24/16	0	8	17.85
229	11	HEF001	8/24/16	0	8	17.85
229	10	HEF001	8/24/16	0	8	17.85
310	10	HEF001	4/5/17	0	7	17.95
310	10	HEF001	4/5/17	0	7	17.95
310	8	HEF001	4/5/17	0	7	17.95
347	7	HEF001	8/17/17	0	8	17.95
347	7	HEF001	8/17/17	0	8	17.95
347	6	HEF001	8/17/17	0	8	17.95
385	11	HEF001	12/2/17	0	8	17.8
385	11	HEF001	12/2/17	0	8	17.8
385	12	HEF001	12/2/17	0	8	17.8
229	9	HEF001	8/24/16	0	8	17.85
310	9	HEF001	4/5/17	0	7	17.95
347	8	HEF001	8/17/17	0	8	17.95
385	5	HEF001	12/2/17	0	8	17.8
388	14	HEF003	12/23/17	0	8	19.35
388	10	HEF003	12/23/17	0	8	19.35
417	10	HEF003	4/5/18	0	7	19.35
499	11	HEF003	2/25/19	0	7	19.15
388	13	HEF003	12/23/17	0	8	19.35
388	12	HEF003	12/23/17	0	8	19.35
417	13	HEF003	4/5/18	0	7	19.35
417	7	HEF003	4/5/18	0	7	19.35
499	11	HEF003	2/25/19	0	7	19.15
499	9	HEF003	2/25/19	0	7	19.15
499	12	HEF003	2/25/19	0	7	19.15
35	10	KR7F010	5/17/14	1	7	17.5
35	11	KR7F010	5/17/14	1	7	17.5
121	12	KR7F010	6/28/15	0	6	17.75
35	11	KR7F010	5/17/14	1	7	17.5
121	14	KR7F010	6/28/15	0	6	17.75
26	19	L14F011	3/27/14	1	6	19.25
26	15	L14F011	3/27/14	1	6	19.25
159	12	L14F015	12/10/15	1	6	18.6
194	13	L14F015	4/9/16	0	7	18.95
228	13	L14F015	8/11/16	0	7	18.7
228	13	L14F015	8/11/16	0	7	18.7
228	13	L14F015	8/11/16	0	7	18.7
